request_id,service_area,channel,customer_tier,initial_priority,request_age_hours,updates_count,past_breaches_90d,team_capacity_pct,sentiment_score,complexity_score,assigned_team_size,weekday,sla_breach,final_resolution_hours_POST_OUTCOME_EXCLUDE,actual_breach_reason_POST_OUTCOME_EXCLUDE,escalation_after_outcome_EXCLUDE
REQ-100000,Customer Care,Email,Standard,Standard,9.8,3,0,94.5,-0.52,3,10,Mon,0,13.7,none,no
REQ-100001,Finance Ops,Portal,Standard,Low,25.2,4,0,78.0,0.67,1,8,Fri,0,49.8,none,no
REQ-100002,Customer Care,Portal,Standard,Standard,26.2,2,2,76.0,-1.06,2,13,Thu,0,32.0,none,no
REQ-100003,Facilities,Chat,Standard,Standard,18.4,1,0,,-0.75,2,9,Thu,0,23.3,none,no
REQ-100004,IT Support,Portal,Standard,Urgent,6.3,3,0,64.9,-0.25,5,17,Fri,0,9.3,none,no
REQ-100005,Compliance,Portal,Standard,Low,13.7,3,1,61.2,1.21,2,7,Thu,0,32.1,none,no
REQ-100006,Customer Care,Portal,Strategic,Urgent,47.4,2,0,83.3,0.79,4,8,Wed,0,58.3,none,no
REQ-100007,Customer Care,Portal,Standard,Standard,62.1,4,0,63.7,-1.23,1,3,Mon,0,86.2,none,no
REQ-100008,IT Support,Email,Priority,Low,28.4,4,0,63.7,1.01,5,6,Tue,0,35.6,none,no
REQ-100009,Finance Ops,Email,Standard,Standard,6.5,3,0,88.9,1.01,4,6,Fri,0,10.6,none,no
REQ-100010,HR Services,Portal,Priority,Standard,13.8,5,0,84.8,,3,14,Fri,0,24.3,none,no
REQ-100011,Compliance,Portal,Standard,Low,17.6,4,1,61.7,-1.89,2,8,Thu,1,60.7,handoff,yes
REQ-100012,Facilities,Portal,Priority,Standard,15.8,3,0,70.0,-0.05,2,6,Mon,0,18.0,none,no
REQ-100013,Customer Care,Portal,Strategic,Low,30.4,2,1,66.3,0.84,2,7,Mon,1,63.3,late_response,yes
REQ-100014,Finance Ops,Portal,Standard,Standard,24.4,2,2,100.0,1.19,3,11,Fri,0,39.3,none,no
REQ-100015,IT Support,Email,Standard,Standard,6.2,0,2,89.8,-0.65,5,14,Mon,0,36.7,none,no
REQ-100016,Finance Ops,Portal,,Standard,9.1,2,0,72.5,1.31,2,17,Wed,0,14.6,none,no
REQ-100017,IT Support,Portal,Standard,Standard,28.3,3,0,85.5,-1.67,4,3,Tue,0,30.4,none,no
REQ-100018,Customer Care,Portal,Strategic,Low,36.7,1,0,60.4,-0.28,3,15,Tue,0,44.5,none,no
REQ-100019,Facilities,Portal,Standard,Urgent,17.8,1,2,69.3,-0.31,4,8,Thu,0,37.9,none,no
REQ-100020,Customer Care,Portal,Priority,Standard,39.6,4,1,79.4,0.86,4,15,Fri,0,51.0,none,no
REQ-100021,HR Services,Portal,Standard,Urgent,16.4,3,0,83.9,0.97,1,3,Thu,0,32.4,none,no
REQ-100022,Compliance,Chat,Standard,Urgent,7.2,1,1,76.7,0.72,1,12,Wed,0,11.5,none,no
REQ-100023,Customer Care,Portal,Standard,Low,23.0,3,2,81.2,-1.01,5,16,Wed,0,32.2,none,no
REQ-100024,Customer Care,Email,Priority,Standard,79.5,3,1,79.0,0.65,1,3,Fri,0,91.3,none,no
REQ-100025,IT Support,Email,,Low,5.0,0,1,75.9,,3,14,Wed,0,7.6,none,no
REQ-100026,Finance Ops,Portal,Standard,Standard,38.7,6,0,74.2,-1.25,4,4,Wed,0,50.4,none,no
REQ-100027,IT Support,Portal,Standard,Standard,22.1,1,0,72.5,-1.55,3,17,Thu,0,30.6,none,no
REQ-100028,IT Support,Phone,Priority,Low,8.7,3,0,81.0,0.78,1,14,Tue,0,69.1,none,no
REQ-100029,Facilities,Phone,Standard,Urgent,2.3,2,0,83.3,-0.14,1,16,Mon,0,13.4,none,no
REQ-100030,Customer Care,Portal,,Low,1.4,3,1,80.6,-0.96,4,16,Fri,0,33.0,none,no
REQ-100031,Compliance,Portal,Standard,Standard,9.8,3,1,62.7,-0.16,5,7,Wed,1,45.7,complexity,no
REQ-100032,HR Services,Portal,Standard,Standard,19.7,3,0,65.0,0.27,2,9,Mon,0,29.7,none,no
REQ-100033,HR Services,Email,Standard,Low,27.0,5,0,83.2,-0.06,3,13,Tue,0,55.5,none,no
REQ-100034,Finance Ops,Email,Standard,Standard,31.2,3,0,97.1,-1.16,5,5,Fri,0,35.0,none,no
REQ-100035,IT Support,Portal,Standard,Standard,18.5,5,1,80.0,1.41,5,7,Thu,0,26.2,none,no
REQ-100036,IT Support,Portal,Standard,Low,16.5,2,0,,0.75,3,4,Thu,0,37.6,none,no
REQ-100037,Finance Ops,Chat,Strategic,,11.6,3,0,80.9,,4,16,Mon,0,12.5,none,no
REQ-100038,IT Support,Portal,Standard,Low,20.0,3,0,63.2,-0.22,5,6,Fri,0,30.8,none,no
REQ-100039,Facilities,Email,Standard,Standard,8.8,2,1,95.0,0.27,4,9,Fri,0,19.5,none,no
REQ-100040,Finance Ops,Phone,Standard,Low,5.2,5,0,80.4,-0.85,3,9,Wed,0,18.7,none,no
REQ-100041,Customer Care,Portal,Standard,Urgent,15.8,1,1,69.3,0.24,4,8,Tue,0,25.1,none,no
REQ-100042,Facilities,Portal,Standard,Urgent,25.6,3,1,75.8,-1.0,2,14,Thu,0,46.1,none,no
REQ-100043,HR Services,Portal,Standard,,4.2,1,0,71.1,-0.05,5,16,Fri,0,9.9,none,no
REQ-100044,Customer Care,Chat,Priority,Low,9.8,6,2,95.1,-0.88,1,11,Thu,0,32.3,none,no
REQ-100045,Customer Care,Portal,Standard,Standard,15.4,4,2,75.4,-0.84,2,15,Fri,0,19.6,none,no
REQ-100046,HR Services,Portal,Strategic,Standard,15.2,1,1,80.0,1.23,2,4,Thu,0,29.5,none,no
REQ-100047,HR Services,Portal,Standard,,21.7,3,1,85.5,0.04,2,17,Tue,0,47.9,none,no
REQ-100048,Facilities,Portal,Strategic,Low,46.5,0,2,68.4,0.16,3,4,Wed,0,51.8,none,no
REQ-100049,IT Support,Email,Standard,Low,1.4,0,0,80.5,-1.51,4,3,Fri,0,7.9,none,no
REQ-100050,IT Support,Portal,Standard,Urgent,47.9,3,0,81.6,-0.45,5,3,Tue,1,93.4,capacity,yes
REQ-100051,IT Support,Email,Priority,Standard,45.2,4,2,57.8,0.35,3,6,Tue,1,70.3,complexity,no
REQ-100052,Customer Care,Email,Priority,Urgent,27.3,1,2,81.3,0.15,4,15,Thu,0,29.4,none,no
REQ-100053,Facilities,Phone,Priority,Standard,17.5,5,0,77.4,-1.62,3,7,Wed,0,30.7,none,no
REQ-100054,Facilities,Portal,Standard,Urgent,8.9,3,1,79.7,0.16,1,14,Fri,0,27.0,none,no
REQ-100055,Customer Care,Chat,Priority,Low,27.1,4,0,78.5,0.27,4,9,Mon,1,63.5,complexity,yes
REQ-100056,Finance Ops,Email,Priority,Low,18.2,4,2,81.4,0.96,1,4,Tue,0,32.2,none,no
REQ-100057,Finance Ops,Portal,Priority,Urgent,11.8,3,2,95.4,-0.49,3,10,Tue,0,28.1,none,no
REQ-100058,IT Support,Phone,Standard,Urgent,26.6,1,0,62.7,-1.68,5,6,Thu,1,84.9,complexity,yes
REQ-100059,IT Support,Chat,Priority,Low,29.7,2,2,73.6,-0.75,4,7,Thu,0,51.2,none,no
REQ-100060,Facilities,Portal,Priority,Standard,36.5,8,1,86.7,-0.82,3,10,Wed,0,45.5,none,no
REQ-100061,Finance Ops,Chat,Strategic,Standard,8.1,3,2,,0.55,2,14,Wed,0,18.1,none,no
REQ-100062,Finance Ops,Email,Standard,Standard,33.5,3,0,84.0,-2.04,5,11,Mon,0,58.9,none,no
REQ-100063,Customer Care,Email,Standard,Low,12.0,6,0,100.0,-0.34,5,6,Thu,0,25.8,none,no
REQ-100064,Facilities,Chat,Priority,Urgent,17.6,2,3,,1.07,2,13,Fri,0,29.9,none,no
REQ-100065,Finance Ops,Portal,Standard,Low,20.0,5,1,92.7,0.01,1,13,Thu,0,28.8,none,no
REQ-100066,Finance Ops,Phone,Priority,Standard,31.7,1,0,,0.67,3,6,Tue,0,56.5,none,no
REQ-100067,HR Services,Portal,Standard,Low,24.8,3,0,65.1,-1.23,4,15,Thu,0,30.4,none,no
REQ-100068,IT Support,Phone,Standard,Low,11.6,4,1,,-1.2,5,15,Tue,0,19.3,none,no
REQ-100069,Finance Ops,Email,Priority,Standard,1.7,3,2,87.3,1.08,5,12,Mon,0,26.4,none,no
REQ-100070,IT Support,Portal,Standard,Standard,21.5,2,0,83.3,0.08,2,7,Mon,0,46.1,none,no
REQ-100071,Finance Ops,Portal,Standard,Standard,17.0,2,2,83.2,0.08,2,8,Mon,0,64.9,none,no
REQ-100072,Customer Care,Portal,,Low,4.9,2,2,75.2,-0.84,5,9,Mon,0,15.7,none,no
REQ-100073,IT Support,Portal,,Urgent,18.5,1,1,73.1,0.08,2,5,Thu,0,27.4,none,no
REQ-100074,IT Support,Portal,Strategic,Standard,15.2,0,0,75.7,-0.86,3,7,Tue,0,24.9,none,no
REQ-100075,HR Services,Portal,Standard,Urgent,36.3,1,1,87.4,0.89,2,5,Thu,0,38.6,none,no
REQ-100076,HR Services,Portal,Standard,Low,50.0,4,0,88.9,,2,5,Fri,0,51.1,none,no
REQ-100077,Facilities,Portal,Strategic,Low,29.2,3,0,64.9,,3,14,Wed,0,43.2,none,no
REQ-100078,Finance Ops,Phone,Standard,Standard,14.6,2,0,87.9,-0.48,2,4,Wed,0,22.9,none,no
REQ-100079,Customer Care,Phone,Standard,Standard,16.3,3,0,69.5,-1.9,3,10,Thu,0,22.2,none,no
REQ-100080,Facilities,Phone,Standard,Low,7.9,3,1,84.1,-1.26,2,9,Mon,0,20.1,none,no
REQ-100081,Finance Ops,Portal,Standard,Low,9.2,5,0,75.5,1.17,1,3,Wed,0,23.5,none,no
REQ-100082,Customer Care,Chat,Strategic,Standard,14.0,1,2,98.4,-0.77,4,15,Wed,0,24.2,none,no
REQ-100083,IT Support,Email,Priority,Low,12.9,0,0,72.6,-0.28,5,17,Fri,0,23.3,none,no
REQ-100084,IT Support,Portal,Priority,Standard,4.6,2,0,80.3,0.49,3,12,Fri,0,12.9,none,no
REQ-100085,IT Support,Portal,Standard,Low,36.5,1,0,85.9,1.11,2,13,Fri,0,55.5,none,no
REQ-100086,Customer Care,Email,Standard,Low,39.8,3,0,66.6,-0.15,4,6,Thu,0,47.1,none,no
REQ-100087,Finance Ops,Portal,Standard,Standard,35.7,5,2,77.1,-0.3,3,15,Wed,0,40.6,none,no
REQ-100088,IT Support,Email,Standard,Standard,40.7,5,1,74.5,0.05,3,14,Fri,0,48.7,none,no
REQ-100089,Finance Ops,Chat,Standard,Standard,59.3,4,0,71.3,-0.47,3,9,Fri,0,72.8,none,no
