learner_id,department,region,role_family,employee_band,training_type,enrolment_date,prior_python_score,course_minutes,engagement_score,manager_support_score,support_tickets_last_30d,completion_days,completed_on_time,enrolment_date_parsed,enrolment_date_invalid_flag,prior_python_score_invalid_flag,engagement_score_invalid_flag,course_minutes_invalid_flag,manager_support_score_invalid_flag,support_tickets_last_30d_invalid_flag,completion_days_invalid_flag,prior_python_score_missing_flag,course_minutes_missing_flag,engagement_score_missing_flag,manager_support_score_missing_flag,support_tickets_last_30d_missing_flag,completion_days_missing_flag,department_missing_flag,region_missing_flag,role_family_missing_flag,employee_band_missing_flag,training_type_missing_flag,prior_python_score_zscore,course_minutes_zscore,engagement_score_zscore,support_tickets_last_30d_zscore,dept_customer support,dept_finance,dept_hr,dept_it,dept_operations,dept_sales,dept_unknown,region_birmingham,region_bristol,region_cardiff,region_edinburgh,region_leeds,region_london,region_manchester,region_remote,region_unknown,training_ai awareness,training_data literacy,training_ml foundations,training_python basics,training_responsible ai
L10387,operations,remote,technician,a,ml foundations,2026-02-15,41.9,189.8,91.3,4.0,1.0,20.0,1,2026-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6532540957443574,1.1438003087439652,1.4325259074884984,-0.7981790759111805,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
L10089,sales,unknown,associate,a,ml foundations,2026-02-07,39.6,191.8,84.7,3.0,1.0,23.0,1,2026-02-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.7884384900890793,1.1840733130950998,1.0599525071434013,-0.7981790759111805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
L10448,operations,manchester,analyst,b,ai awareness,2026-03-10,36.1,93.6,100.0,1.0,3.0,13.0,1,2026-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9941538727875693,-0.7933312005456077,1.9236453897615815,0.6062415855161165,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
L10599,hr,manchester,technician,c,ai awareness,2026-01-05,55.7,186.0,37.1,4.0,4.0,8.0,0,2026-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15785227032397484,1.0672816004768093,-1.6270920165576046,1.308451916229765,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
L10227,it,edinburgh,coordinator,b,data literacy,2026-03-08,10.6,237.5,47.9,1.0,1.0,15.0,0,2026-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4929373753051394,2.1043114625185244,-1.0174264523565364,-0.7981790759111805,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
L10139,operations,london,analyst,a,data literacy,2026-01-28,51.6,243.0,77.7,2.0,4.0,19.0,1,2026-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08312860655139924,2.2150622244841447,0.6647989007167827,1.308451916229765,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
L10522,finance,remote,specialist,c,responsible ai,2026-03-28,38.4,176.1,66.5,3.0,0.0,12.0,1,2026-03-28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.8589694784428474,0.8679302289386932,0.03255313043419293,-1.5003894066248291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
L10284,sales,london,manager,b,ai awareness,2026-03-01,53.4,177.4,87.8,2.0,2.0,10.0,0,2026-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022667875979252593,0.8941076817669309,1.234949104275189,-0.095968745197532,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L10124,it,birmingham,analyst,a,ai awareness,07/01/2026,43.9,125.6,35.0,3.0,2.0,24.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357024484880775,-0.1489631309274546,-1.7456380984855904,-0.095968745197532,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
L10054,sales,edinburgh,analyst,a,python basics,2026-03-31,53.4,98.8,53.0,1.0,1.0,14.0,0,2026-03-31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022667875979252593,-0.6886213892326577,-0.7295288248171428,-0.7981790759111805,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
