customer_id,signup_date,last_login_date,region,sector,plan_type,contract_type,acquisition_channel,monthly_fee_gbp,tenure_months,usage_minutes_30d,active_days_30d,support_tickets_90d,invoices_late_6m,satisfaction_score,renewal_month,account_notes,cancellation_reason,account_closed_date,retention_offer_after_churn,churned
CUST-1001,2022-09-21,2024-12-29,Midlands,Education,Basic,Monthly,Sales-led,55.75,27,112.0,5,1,0,4.9,4,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1002,2021-02-22,2024-12-20,North West,Healthcare,Basic,Monthly,Sales-led,49.21,46,293.7,9,3,0,6.8,3,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1003,2021-01-21,2024-12-31,Northern Ireland,Professional Services,Basic,Monthly,Self-serve,36.68,47,122.8,8,1,4,7.1,7,Multiple support contacts; wants faster response time.,business_closed,2025-02-01,none,1
CUST-1004,2020-07-08,2024-12-10,Wales,Technology,Basic,Monthly,Sales-led,43.12,53,172.7,0,2,1,7.2,3,Support issue around onboarding and admin setup.,support,2025-02-07,success_call,1
CUST-1005,2020-01-07,2024-12-24,London,Professional Services,Basic,Annual,Self-serve,34.46,59,253.8,12,2,0,7.7,2,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1006,2022-01-01,2024-12-27,South West,Professional Services,Standard,Monthly,Sales-led,83.66,35,226.6,16,5,1,5.0,11,Customer happy with product but needs integration advice.,business_closed,2025-01-13,discount,1
CUST-1007,2023-12-11,2024-12-16,Midlands,Retail,Enterprise,Annual,Sales-led,353.82,12,703.1,30,1,2,9.3,9,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1008,2020-11-17,2024-12-27,Midlands,Professional Services,Standard,Monthly,Renewal upgrade,85.52,49,196.0,9,4,1,8.4,12,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1009,2021-10-04,2024-12-16,London,Healthcare,Standard,Monthly,Sales-led,102.83,38,252.9,9,7,0,6.8,6,Customer happy with product but needs integration advice.,competitor,2025-03-30,discount,1
CUST-1010,2023-09-27,2024-12-26,North West,Education,Basic,Monthly,Sales-led,33.38,15,158.4,4,3,1,5.8,12,Invoice query raised; finance contact requested clarification.,business_closed,2025-03-19,success_call,1
CUST-1011,2023-02-01,2024-12-06,South East,Retail,Premium,Monthly,Sales-led,182.56,22,405.8,15,3,1,6.2,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1012,2020-01-06,2024-12-25,South West,Professional Services,Standard,Monthly,Renewal upgrade,93.14,59,151.5,8,1,0,6.6,6,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1013,2021-12-31,2024-12-28,Wales,Professional Services,Premium,Monthly,Self-serve,195.88,36,538.0,18,1,0,10.0,3,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1014,2020-07-28,2024-12-23,Midlands,Healthcare,Enterprise,Monthly,Self-serve,352.88,53,178.7,10,3,3,6.9,2,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1015,2020-12-26,2024-12-23,North West,Professional Services,Standard,Monthly,Renewal upgrade,113.83,48,410.1,25,3,0,7.2,6,Manager requested renewal details and training resources.,,,,0
CUST-1016,2020-12-25,2024-12-09,South East,Manufacturing,Basic,Annual,Sales-led,39.93,48,93.6,3,2,0,4.1,5,Support issue around onboarding and admin setup.,,,,0
CUST-1017,2022-06-13,2024-12-28,Scotland,Retail,Basic,Monthly,Renewal upgrade,49.67,30,192.7,2,1,0,8.7,5,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1018,2020-10-17,2024-12-14,London,Retail,Standard,Annual,Sales-led,87.23,50,217.0,3,5,0,5.8,6,Invoice query raised; finance contact requested clarification.,,,,0
