customer_id,signup_date,last_login_date,region,sector,plan_type,contract_type,acquisition_channel,monthly_fee_gbp,tenure_months,usage_minutes_30d,active_days_30d,support_tickets_90d,invoices_late_6m,satisfaction_score,renewal_month,account_notes,cancellation_reason,account_closed_date,retention_offer_after_churn,churned,signup_month,signup_quarter,days_since_last_login,tenure_band,usage_per_active_day,fee_per_usage_minute,ticket_rate_per_tenure,low_usage_high_tickets_flag,monthly_contract_low_satisfaction_flag,account_note_length,mentions_price_issue,mentions_support_issue,late_payment_rate,days_to_renewal,satisfaction_x_support_load
CUST-1001,2022-09-21,2024-12-29,Midlands,Education,Basic,Monthly,Sales-led,55.75,27,112.0,5,1,0,4.9,4,Healthy adoption in team; users asked for reporting improvements.,,,,0,9,3,2,established,22.4,0.49776785714285715,0.037037037037037035,0,1,65,0,0,0.0,91,5.1
CUST-1002,2021-02-22,2024-12-20,North West,Healthcare,Basic,Monthly,Sales-led,49.21,46,293.7,9,3,0,6.8,3,Invoice query raised; finance contact requested clarification.,,,,0,2,1,11,long_term,32.63333333333333,0.16755192373169903,0.06521739130434782,0,0,62,1,0,0.0,60,9.600000000000001
CUST-1003,2021-01-21,2024-12-31,Northern Ireland,Professional Services,Basic,Monthly,Self-serve,36.68,47,122.8,8,1,4,7.1,7,Multiple support contacts; wants faster response time.,business_closed,2025-02-01,none,1,1,1,0,long_term,15.35,0.2986970684039088,0.02127659574468085,0,0,54,0,1,0.0851063829787234,182,2.9000000000000004
CUST-1004,2020-07-08,2024-12-10,Wales,Technology,Basic,Monthly,Sales-led,43.12,53,172.7,0,2,1,7.2,3,Support issue around onboarding and admin setup.,support,2025-02-07,success_call,1,7,3,21,long_term,,0.24968152866242038,0.03773584905660377,0,0,48,0,1,0.018867924528301886,60,5.6
CUST-1005,2020-01-07,2024-12-24,London,Professional Services,Basic,Annual,Self-serve,34.46,59,253.8,12,2,0,7.7,2,Healthy adoption in team; users asked for reporting improvements.,,,,0,1,1,7,long_term,21.150000000000002,0.13577620173364854,0.03389830508474576,0,0,65,0,0,0.0,32,4.6
CUST-1006,2022-01-01,2024-12-27,South West,Professional Services,Standard,Monthly,Sales-led,83.66,35,226.6,16,5,1,5.0,11,Customer happy with product but needs integration advice.,business_closed,2025-01-13,discount,1,1,1,4,established,14.1625,0.36919682259488085,0.14285714285714285,0,1,57,0,0,0.02857142857142857,305,25.0
CUST-1007,2023-12-11,2024-12-16,Midlands,Retail,Enterprise,Annual,Sales-led,353.82,12,703.1,30,1,2,9.3,9,Invoice query raised; finance contact requested clarification.,,,,0,12,4,15,growing,23.436666666666667,0.5032285592376617,0.08333333333333333,0,0,62,1,0,0.16666666666666666,244,0.6999999999999993
CUST-1008,2020-11-17,2024-12-27,Midlands,Professional Services,Standard,Monthly,Renewal upgrade,85.52,49,196.0,9,4,1,8.4,12,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,11,4,4,long_term,21.77777777777778,0.43632653061224486,0.08163265306122448,0,0,72,1,0,0.02040816326530612,335,6.399999999999999
CUST-1009,2021-10-04,2024-12-16,London,Healthcare,Standard,Monthly,Sales-led,102.83,38,252.9,9,7,0,6.8,6,Customer happy with product but needs integration advice.,competitor,2025-03-30,discount,1,10,4,15,long_term,28.1,0.40660340055357846,0.18421052631578946,0,0,57,0,0,0.0,152,22.400000000000002
CUST-1010,2023-09-27,2024-12-26,North West,Education,Basic,Monthly,Sales-led,33.38,15,158.4,4,3,1,5.8,12,Invoice query raised; finance contact requested clarification.,business_closed,2025-03-19,success_call,1,9,3,5,growing,39.6,0.21073232323232324,0.2,0,1,62,1,0,0.06666666666666667,335,12.600000000000001
