request_id,request_channel,service_area,request_type,customer_segment,priority_at_submission,request_age_hours_at_triage,previous_tickets_90d,open_items_for_team,staff_available,attachments_count,has_clear_description,historical_team_delay_rate,requester_tenure_months,day_of_week,sla_breach_risk,post_resolution_hours_DO_NOT_USE,final_status_DO_NOT_USE
REQ-10000,Email,Facilities,Policy query,Key client,Low,7.5,2,44,11,4,1,0.095,73.0,Mon,1,58.3,Resolved late
REQ-10001,Email,HR,Policy query,Internal,Urgent,9.6,2,64,10,2,0,0.147,53.0,Fri,1,71.3,Resolved late
REQ-10002,Chat,Data,Payroll,Key client,Standard,34.9,2,27,7,0,1,0.39,53.0,Wed,0,31.3,Auto closed
REQ-10003,Chat,Facilities,Data report,External supplier,Urgent,20.5,1,42,7,1,1,0.275,10.0,Mon,0,35.7,Auto closed
REQ-10004,Email,IT,Procurement,Internal,Urgent,4.6,2,51,2,2,1,0.373,27.0,Mon,1,61.4,Resolved late
REQ-10005,Portal,Data,Policy query,Key client,Standard,4.5,0,39,7,0,1,0.702,30.0,Thu,0,32.8,Resolved on time
REQ-10006,Phone,Facilities,Access,Internal,Standard,18.5,4,58,5,1,1,0.298,19.0,Thu,1,58.7,Resolved late
REQ-10007,Chat,Facilities,Payroll,Internal,Low,6.3,4,36,8,1,1,0.225,48.0,Wed,0,37.1,Resolved on time
REQ-10008,Portal,IT,System issue,Internal,Standard,21.1,0,71,8,1,1,0.279,44.0,Wed,1,65.6,Escalated late
REQ-10009,Portal,Finance,Hardware,Internal,Low,22.6,1,72,9,0,1,0.294,52.0,Mon,1,76.1,Resolved late
REQ-10010,Phone,HR,System issue,Key client,Standard,8.2,0,46,10,2,1,0.354,59.0,Mon,1,56.4,Resolved late
REQ-10011,Phone,Data,Payroll,Key client,Low,10.0,3,50,7,1,0,0.296,58.0,Wed,1,69.7,Resolved late
REQ-10012,Phone,Facilities,Policy query,Partner,Standard,18.9,3,59,12,2,0,,116.0,Tue,1,60.4,Resolved late
REQ-10013,Portal,Data,System issue,Internal,Low,7.9,1,25,8,0,0,0.248,35.0,Tue,0,41.5,Resolved on time
REQ-10014,Email,Finance,Hardware,Key client,Standard,15.8,0,24,5,0,1,0.728,32.0,Tue,1,58.7,Escalated late
REQ-10015,Chat,IT,System issue,Internal,Low,58.3,0,60,6,3,1,,47.0,Thu,1,63.4,Escalated late
REQ-10016,Chat,Finance,Payroll,Internal,Standard,19.5,5,46,7,2,0,0.15,65.0,Tue,1,64.6,Resolved late
REQ-10017,Phone,IT,Data report,Internal,Standard,11.3,3,39,9,1,1,0.15,13.0,Tue,0,25.8,Resolved on time
REQ-10018,Email,Data,Data report,Key client,Low,52.2,0,42,6,0,1,0.368,23.0,Tue,1,52.0,Resolved late
REQ-10019,Email,Facilities,System issue,External supplier,Urgent,25.8,1,9,7,1,1,0.194,26.0,Thu,0,31.9,Resolved on time
REQ-10020,Phone,Facilities,Access,Internal,Urgent,6.4,1,39,7,1,1,0.477,37.0,Mon,1,75.2,Resolved late
REQ-10021,Email,HR,Hardware,Key client,Standard,7.5,0,31,7,0,1,0.153,27.0,Fri,0,34.8,Resolved on time
REQ-10022,Chat,Data,System issue,Partner,Standard,3.2,0,55,9,0,1,0.098,60.0,Wed,1,77.2,Escalated late
REQ-10023,Portal,Data,Data report,Partner,Standard,18.7,3,56,9,0,1,,40.0,Tue,1,65.2,Resolved late
