case_id,submitted_date,channel,service_area,customer_type,postcode_area,priority_flag,days_open,updates_count,previous_cases,assigned_team,late_status_2024,satisfaction_score,resolved_on_time
SR-1001,2024-01-08,Web,Housing,Resident,BS1,0,2,1,0,Team A,0,4,1
SR-1002,2024-01-09,Phone,Benefits,Resident,BS5,1,8,4,2,Team B,1,2,0
SR-1003,2024-01-10,Email,Planning,Business,BS8,0,5,2,1,Team C,0,3,1
SR-1004,2024-01-11,Web,Waste,Resident,BS3,0,1,1,0,Team A,0,5,1
SR-1005,2024-01-12,Phone,Housing,Resident,BS4,1,12,5,3,Team B,1,1,0
SR-1006,2024-01-15,Web,Licensing,Business,BS2,0,4,2,0,Team C,0,4,1
SR-1007,2024-01-16,Email,Benefits,Resident,BS6,1,10,3,2,Team B,1,2,0
SR-1008,2024-01-17,Web,Waste,Resident,BS7,0,3,1,0,Team A,0,5,1
SR-1009,2024-01-18,Phone,Planning,Business,BS9,0,7,3,1,Team C,1,3,0
SR-1010,2024-01-19,Web,Housing,Resident,BS1,0,4,2,1,Team A,0,4,1
SR-1011,2024-01-22,Email,Licensing,Business,BS2,1,9,4,2,Team C,1,2,0
SR-1012,2024-01-23,Web,Waste,Resident,BS3,0,2,1,0,Team A,0,5,1
SR-1013,2024-01-24,Phone,Benefits,Resident,BS5,1,11,4,3,Team B,1,1,0
SR-1014,2024-01-25,Web,Housing,Resident,BS4,0,6,2,1,Team B,0,3,1
SR-1015,2024-01-26,Email,Planning,Business,BS8,0,5,2,0,Team C,0,4,1
SR-1016,2024-01-29,Phone,Waste,Resident,BS6,0,4,2,1,Team A,0,4,1
SR-1017,2024-01-30,Web,Benefits,Resident,BS7,1,13,5,4,Team B,1,1,0
SR-1018,2024-01-31,Email,Housing,Resident,BS9,1,9,3,2,Team B,1,2,0
SR-1019,2024-02-01,Web,Licensing,Business,BS2,0,3,1,0,Team C,0,5,1
SR-1020,2024-02-02,Phone,Planning,Business,BS8,0,7,3,1,Team C,1,3,0
SR-1021,2024-02-05,Web,Waste,Resident,BS3,0,1,1,0,Team A,0,5,1
SR-1022,2024-02-06,Email,Benefits,Resident,BS5,1,10,4,2,Team B,1,2,0
SR-1023,2024-02-07,Web,Housing,Resident,BS4,0,5,2,1,Team A,0,4,1
SR-1024,2024-02-08,Phone,Licensing,Business,BS1,0,4,2,0,Team C,0,4,1
SR-1025,2024-02-09,Web,Planning,Business,BS9,1,12,5,3,Team C,1,1,0
SR-1026,2024-02-12,Email,Waste,Resident,BS6,0,3,1,0,Team A,0,5,1
SR-1027,2024-02-13,Phone,Housing,Resident,BS7,1,11,4,3,Team B,1,2,0
SR-1028,2024-02-14,Web,Benefits,Resident,BS5,0,6,2,1,Team B,0,3,1
SR-1029,2024-02-15,Email,Licensing,Business,BS2,0,4,2,1,Team C,0,4,1
SR-1030,2024-02-16,Web,Waste,Resident,BS3,0,2,1,0,Team A,0,5,1
SR-1031,2024-02-19,Phone,Planning,Business,BS8,1,14,5,4,Team C,1,1,0
SR-1032,2024-02-20,Web,Housing,Resident,BS1,0,5,2,1,Team A,0,4,1
SR-1033,2024-02-21,Email,Benefits,Resident,BS6,1,9,4,2,Team B,1,2,0
SR-1034,2024-02-22,Web,Licensing,Business,BS2,0,3,1,0,Team C,0,5,1
SR-1035,2024-02-23,Phone,Waste,Resident,BS4,0,4,2,0,Team A,0,4,1
SR-1036,2024-02-26,Web,Planning,Business,BS9,0,6,3,1,Team C,0,3,1
SR-1037,2024-02-27,Email,Housing,Resident,BS5,1,13,5,4,Team B,1,1,0
SR-1038,2024-02-28,Web,Benefits,Resident,BS7,0,7,2,1,Team B,1,3,0
SR-1039,2024-02-29,Phone,Licensing,Business,BS1,0,4,2,0,Team C,0,4,1
SR-1040,2024-03-01,Web,Waste,Resident,BS3,0,2,1,0,Team A,0,5,1
