learner_id,department,region,role_family,employee_band,training_type,enrolment_date,prior_python_score,course_minutes,engagement_score,manager_support_score,support_tickets_last_30d,completion_days,completed_on_time
L10387, OPERATIONS ,Remote,Technician,A,ML Foundations,2026-02-15,41.9,189.8,91.3,4.0,1,20.0,1
L10089,Sales,Unknown,Associate,A,ML Foundations,2026-02-07,39.6,191.8,84.7,,1,23.0,1
L10448,operations,Manchester,Analyst,B,AI Awareness,2026-03-10,36.1,93.6,100.0,1.0,3,13.0,1
L10599,Human Resources,Manchester,Technician,C,AI Awareness,2026-01-05,55.7,186.0,37.1,4.0,4,8.0,0
L10227,IT,Edinburgh,Coordinator,B,Data Literacy,2026-03-08,10.6,237.5,47.9,1.0,1,15.0,0
L10139,Operations,London,Analyst,A,Data Literacy,2026-01-28,51.6,243.0,77.7,2.0,4,19.0,1
L10522,finance,Remote,Specialist,C,Responsible AI,2026-03-28,38.4,176.1,,,0,12.0,1
L10284,Sales,London,Manager,B,AI Awareness,2026-03-01,,177.4,87.8,2.0,2,10.0,0
L10124,Information Technology,Birmingham,Analyst,A,AI Awareness,07/01/2026,43.9,125.6,35.0,3.0,2,24.0,0
L10054,Sales,Edinburgh,Analyst,A,Python Basics,2026-03-31,,98.8,53.0,1.0,1,14.0,0
L10088,Sales,London,Specialist,B,Data Literacy,2026-03-21,74.8,159.7,66.0,5.0,3,9.0,1
L10527,Information Technology,Bristol,Associate,B,AI Awareness,2026-02-14,46.2,117.2,100.0,3.0,0,0.0,1
L10192,Operations,Manchester,Coordinator,A,Responsible AI,2026-02-05,50.5,183.6,66.5,3.0,2,10.0,1
L10098,Information Technology,London,Manager,D,ML Foundations,2026-03-29,64.0,56.3,76.7,4.0,1,4.0,1
L10520,Customer Support,Bristol,Associate,B,Responsible AI,2026-03-02,45.5,150.7,92.9,1.0,3,29.0,1
L10002,Customer Support,,Technician,B,Responsible AI,2026-02-12,48.6,57.8,33.2,2.0,3,17.0,0
L10062,Sales,Manchester,Associate,C,Python Basics,2026-01-08,66.4,107.8,77.4,3.0,2,16.0,1
L10299,,Remote,Specialist,D,Python Basics,2026-03-07,29.9,175.5,80.2,5.0,2,5.0,1
L10091,operations,remote ,Coordinator,B,Python Basics,2026-02-23,27.6,127.6,100.0,1.0,5,10.0,1
L10427,Information Technology,Unknown,Coordinator,D,Python Basics,14/02/2026,49.3,142.6,79.9,5.0,3,21.0,1
L10543, OPERATIONS ,Leeds,Technician,A,Data Literacy,2026-03-09,23.6,186.6,51.6,2.0,3,21.0,0
L10396,Finance,Birmingham,Associate,A,Python Basics,2026-01-25,46.1,179.7,92.1,3.0,1,13.0,1
L10548,Customer Support,Manchester,Analyst,C,Python Basics,2026-02-10,55.3,84.4,58.7,1.0,2,13.0,0
L10250,Support,London,Analyst,B,Responsible AI,2026-03-07,53.5,241.9,20.1,3.0,5,6.0,0
L10060,finance,Birmingham,Technician,B,Responsible AI,2026-01-24,58.2,157.4,25.1,2.0,1,18.0,0
L10251,HR,Manchester,Associate,B,AI Awareness,2026-03-26,52.6,118.0,83.7,1.0,5,8.0,1
L10032,Finance,Birmingham,Specialist,D,Python Basics,2026-02-12,63.8,121.7,41.2,5.0,3,17.0,0
L10376,HR,London,Coordinator,B,Data Literacy,2026-02-01,62.6,88.2,87.6,1.0,1,13.0,1
L10308,HR,Edinburgh,Coordinator,C,Data Literacy,2026-01-19,47.8,234.6,41.9,5.0,2,12.0,0
L10040,HR,London,Technician,B,AI Awareness,not recorded,37.3,92.6,100.0,2.0,2,29.0,1
L10380,Sales,Manchester,Coordinator,B,Python Basics,2026-03-21,34.7,126.3,100.0,5.0,1,18.0,1
L10271,IT,Manchester,Coordinator,A,ML Foundations,2026-04-03,69.6,180.0,92.4,1.0,0,13.0,1
L10369,Finance,Leeds,Coordinator,C,Responsible AI,2026-03-10,75.6,158.6,74.4,3.0,2,8.0,1
L10346,finance,London,Specialist,A,Responsible AI,2026-01-20,56.6,166.9,19.5,,1,1.0,0
L10474,HR,Unknown,Analyst,A,Responsible AI,2026-01-23,89.4,80.2,90.5,4.0,1,23.0,1
L10538,Operations,London,Analyst,A,AI Awareness,2026-01-21,13.0,131.2,,3.0,4,22.0,0
L10482,IT,Remote,Coordinator,C,ML Foundations,2026-02-16,61.1,100.0,57.0,4.0,2,15.0,1
L10037,IT,Bristol,Analyst,A,ML Foundations,2026-03-31,3.2,238.7,999.0,1.0,3,20.0,1
L10212, OPERATIONS ,Manchester,Technician,A,Data Literacy,2026-01-12,72.8,139.6,76.1,5.0,2,20.0,1
L10231,operations,London,Analyst,C,ML Foundations,2026-02-26,42.2,126.1,59.4,2.0,3,10.0,1
L10065,HR,Edinburgh,Associate,B,Data Literacy,2026-03-03,82.0,117.0,95.2,2.0,1,13.0,1
