model,metric,cv_mean,cv_std,train_mean,train_minus_cv
Logistic Regression,accuracy,0.5614814814814816,0.036106837353937604,0.6281481481481481,0.06666666666666654
Logistic Regression,precision,0.4899946862716139,0.03989432671534955,0.558113057199488,0.0681183709278741
Logistic Regression,recall,0.5464004839685421,0.07564926236854214,0.6323406478578891,0.085940163889347
Logistic Regression,f1,0.5145638868877249,0.046665668904573375,0.5929012809945019,0.07833739410677698
Logistic Regression,roc_auc,0.5879951264706256,0.0302065684561959,0.6780583315338087,0.0900632050631831
Random Forest,accuracy,0.6148148148148148,0.026084173128383716,0.9885185185185185,0.37370370370370365
Random Forest,precision,0.569152620597217,0.040951191433713015,0.9930355835527962,0.42388296295557915
Random Forest,recall,0.4080459770114942,0.06906123625655079,0.9801015076877146,0.5720555306762205
Random Forest,f1,0.47304634871814333,0.054678239402091454,0.9865051988323328,0.5134588501141895
Random Forest,roc_auc,0.6015846625646988,0.04147572192508116,0.9996891139864859,0.3981044514217871
